#{"t_start": 1658865452.5116673, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
-38,50,60.677742,0.88,0.8509238960225494
-28,50,60.899796,0.78,0.799803085001641
-34,50,61.096841,0.84,0.8345274650290003
-22,50,61.31189,0.72,0.7304663840096911
-32,50,61.498933,0.82,0.8222740913637879
-24,50,61.898024,0.74,0.723410950283197
-24,50,62.086067,0.74,0.720664928292047
-36,50,62.289114,0.86,0.8639648130694314
-32,50,62.478157,0.82,0.8029572484731597
-26,50,62.698161,0.76,0.7865497076023392
-22,50,62.893206,0.72,0.6465182043124779
-42,50,63.110255,0.92,0.9094251336898396
-34,50,63.311301,0.84,0.8442357512953368
-38,50,63.56436,0.88,0.875499538887181
-26,50,63.764405,0.76,0.8039014373716632
-26,50,63.974453,0.76,0.742443729903537
-22,50,64.176113,0.72,0.748062015503876
-34,50,64.392059,0.84,0.8503086419753086
-20,50,64.593105,0.7,0.6635782747603833
-20,50,64.809154,0.7,0.7194050033806626
-24,50,65.005199,0.74,0.7086871325930765
-28,50,65.22025,0.78,0.7825806451612903
-8,50,65.453813,0.58,0.5893845652881797
-36,50,65.666861,0.86,0.8897612037945698
-28,50,65.865907,0.78,0.767349636483807
-16,50,66.312583,0.66,0.6789401238816243
-30,50,66.501626,0.8,0.7589476904252065
-34,50,66.709674,0.84,0.8505154639175257
-26,50,66.903718,0.76,0.7686366689053056
-36,50,67.111767,0.86,0.8486608583414005
-16,50,67.311811,0.66,0.6861548345647286
-26,50,67.529861,0.76,0.7595701813297515
-32,50,67.714904,0.82,0.7934893184130214
-36,50,67.925952,0.86,0.8763297872340425
-18,50,68.13,0.68,0.7049081601927131
-34,50,68.336051,0.84,0.8679004467134652
-32,50,68.523094,0.82,0.8748855660665242
-14,50,68.767149,0.64,0.6512037580739871
-20,50,68.967195,0.7,0.7246722288438617
-16,50,69.209841,0.66,0.669496855345912
-24,50,69.408983,0.74,0.7462487495831944
-28,50,69.619037,0.78,0.8003581020590869
-20,50,69.821083,0.7,0.6847051198963059
-22,50,70.041133,0.72,0.7412967103161929
-30,50,70.23557,0.8,0.7656579873328642
-22,50,70.474628,0.72,0.7229625038735668
-38,50,70.879721,0.88,0.8833227647431833
-28,50,71.09577,0.78,0.8043202033036849
-28,50,71.29382,0.78,0.7589674824002682
-22,50,71.509873,0.72,0.7329172141918529
-8,50,71.717425,0.58,0.5861365953109072
-30,50,71.926474,0.8,0.7883580080753702
-26,50,72.12452,0.76,0.7778132992327366
-10,50,72.350571,0.6,0.6126636009904493
-32,50,72.538614,0.82,0.7959053103007038
-26,50,72.758664,0.76,0.7518450184501845
-20,50,72.952709,0.7,0.6845637583892618
-34,50,73.170758,0.84,0.8533980582524272
-30,50,73.358808,0.8,0.7841239109390126
-30,50,73.572854,0.8,0.845061533606816
-14,50,73.7749,0.64,0.619845792826014
-28,50,73.986949,0.78,0.7660423702793983
-22,50,74.186589,0.72,0.7386397386397386
-26,50,74.402638,0.76,0.7225493591963976
-22,50,74.600683,0.72,0.7225628448804414
-26,50,74.817734,0.76,0.7456685191238966
-16,50,75.220825,0.66,0.646594982078853
-10,50,75.446877,0.6,0.5896069287141905
-4,50,75.660927,0.54,0.5629160063391442
-26,50,75.874975,0.76,0.7525368248772504
-20,50,76.076021,0.7,0.7048192771084337
-18,50,76.292078,0.68,0.6629560915275201
-22,50,76.489124,0.72,0.7023770758710518
-24,50,76.735179,0.74,0.7447899967938442
-22,50,76.962231,0.72,0.702231520223152
-20,50,77.18483,0.7,0.7174323473882945
-22,50,77.382875,0.72,0.7198456095207462
-30,50,77.586432,0.8,0.8123732251521298
-30,50,77.776475,0.8,0.7909709338280767
-8,50,78.005529,0.58,0.5876902713434812
-32,50,78.200571,0.82,0.8446570972886762
-8,50,78.431624,0.58,0.5853010625737899
-20,50,78.627674,0.7,0.6838729383017715
-18,50,78.853725,0.68,0.6706021251475797
-24,50,79.054772,0.74,0.7593669250645995
-24,50,79.2704,0.74,0.7800616649537513
-14,50,79.482448,0.64,0.6517735334242838
-18,50,79.893432,0.68,0.6789391575663026
-16,50,80.100479,0.66,0.7152626670811315
-30,50,80.309527,0.8,0.7999350438454044
-10,50,80.510573,0.6,0.5663920922570016
-24,50,80.729623,0.74,0.7799873737373737
-26,50,80.916666,0.76,0.766539253160835
-26,50,81.130715,0.76,0.7719417146729922
-10,50,81.332896,0.6,0.6208031599736669
-28,50,81.547946,0.78,0.7669683257918553
-6,50,81.753993,0.56,0.5752508361204013
-22,50,81.974043,0.72,0.7268961121733588
-16,50,82.177655,0.66,0.6770226537216828
-10,50,82.407708,0.6,0.6226215644820295
-6,50,82.614757,0.56,0.51877563900284
-6,50,82.895823,0.56,0.5888512473052048
-34,50,83.095867,0.84,0.8328164646179871
-6,50,83.336923,0.56,0.5306406685236769
-14,50,83.555973,0.64,0.655879525793015
-22,50,83.777023,0.72,0.6987752399867594
-22,50,83.972068,0.72,0.7059611520428667
-26,50,84.38686,0.76,0.738166170142337
-16,50,84.580812,0.66,0.6727447216890595
-22,50,84.800367,0.72,0.7038525963149078
-6,50,85.013416,0.56,0.5134957208689928
-32,50,85.233467,0.82,0.8169240669240669
-18,50,85.427513,0.68,0.6595879556259905
-2,50,85.671569,0.52,0.5191881918819188
0,50,85.882618,0.5,0.4522106631989597
-4,50,86.122672,0.54,0.5286315108379165
6,50,86.345015,0.44,0.4234851078397809
-18,50,86.563065,0.68,0.6525551859691563
-14,50,86.757109,0.64,0.6295847226432252
-10,50,86.981161,0.6,0.6466602129719264
-16,50,87.186208,0.66,0.6666666666666666
-16,50,87.401257,0.66,0.648224043715847
-24,50,87.603303,0.74,0.7434671765455704
-30,50,87.814352,0.8,0.7894044093451793
-14,50,88.019399,0.64,0.6247443762781186
-18,50,88.243455,0.68,0.7019047619047619
6,50,88.471508,0.44,0.46051409104986063
-30,50,88.687558,0.8,0.85336770866903
-14,50,89.086648,0.64,0.6294385432473445
-2,50,89.330204,0.52,0.5058084772370487
-6,50,89.568108,0.56,0.5479582146248813
-22,50,89.785157,0.72,0.702922077922078
-26,50,89.978334,0.76,0.7562156926057475
-12,50,90.204392,0.62,0.6066889632107023
-20,50,90.399436,0.7,0.6778179626280892
-2,50,90.63149,0.52,0.5672907099964677
0,50,90.844538,0.5,0.514526710402999
-18,50,91.069569,0.68,0.6691678035470668
-16,50,91.279617,0.66,0.6362038664323374
-14,50,91.504668,0.64,0.6862139917695473
-12,50,91.716716,0.62,0.6424778761061947
-16,50,91.939768,0.66,0.6775626785147573
-10,50,92.15482,0.6,0.6171293161814488
-6,50,92.387874,0.56,0.5604775369148602
-10,50,92.590921,0.6,0.5902999361837907
-4,50,92.817974,0.54,0.5285935085007728
-26,50,93.024021,0.76,0.7680926342875523
-26,50,93.240071,0.76,0.797556142668428
-12,50,93.629637,0.62,0.629560915275201
-8,50,93.854688,0.58,0.5959595959595959
-12,50,94.059736,0.62,0.5931082492168465
-14,50,94.290178,0.64,0.6324395029431
-6,50,94.499226,0.56,0.5506329113924051
-18,50,94.730279,0.68,0.6996913580246914
-10,50,94.941328,0.6,0.6030195381882771
-6,50,95.204386,0.56,0.5649575338156653
-12,50,95.433439,0.62,0.5812133072407045
4,50,95.704502,0.46,0.4502262443438914
-2,50,95.941556,0.52,0.5608552631578947
4,50,96.192613,0.46,0.46834625322997414
-18,50,96.403662,0.68,0.6766313082610094
0,50,96.646718,0.5,0.4673273459275317
-6,50,96.871769,0.56,0.5888278388278388
-8,50,97.127828,0.58,0.6276024177300201
-6,50,97.344877,0.56,0.5665054413542926
4,50,97.600936,0.46,0.47727984957693514
-10,50,97.841499,0.6,0.5698066891684566
-4,50,98.088554,0.54,0.5095117311350665
-4,50,98.304604,0.54,0.5301241295791704
0,50,98.740986,0.5,0.4897959183673469
-4,50,98.948037,0.54,0.5500485908649174
-6,50,99.186092,0.56,0.5755223880597015
-8,50,99.392139,0.58,0.5759577278731837
-12,50,99.621376,0.62,0.6054170514004309
