#{"t_start": 1658275058.4206622, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
24,50,151.863914,0.26,0.2265892002734108
24,50,152.133976,0.26,0.25567620927936824
18,50,152.360028,0.32,0.34994771697455557
6,50,152.596085,0.44,0.4455573505654281
26,50,152.832293,0.24,0.25635103926096997
18,50,153.071853,0.32,0.3374714145704018
18,50,153.311908,0.32,0.2871875
12,50,153.560964,0.38,0.4309637730690362
16,50,153.82603,0.34,0.32007400555041626
22,50,154.145103,0.28,0.27469642271086314
12,50,154.422167,0.38,0.4202947086403215
12,50,154.712237,0.38,0.40285155157953595
14,50,155.133334,0.36,0.3948892674616695
16,50,155.375389,0.34,0.34958177098355925
28,50,155.614448,0.22,0.2478605388272583
14,50,155.859505,0.36,0.3822525597269625
26,50,156.108561,0.24,0.25312934631432543
32,50,156.374625,0.18,0.1895847515316542
14,50,156.630685,0.36,0.3655980271270037
34,50,156.941262,0.16,0.178743961352657
30,50,157.20232,0.2,0.22147031682559212
20,50,157.440376,0.3,0.31415343915343913
22,50,157.668429,0.28,0.26864244741873805
26,50,157.921487,0.24,0.21802415608547537
18,50,158.176546,0.32,0.3314199395770393
20,50,158.438605,0.3,0.29935916997253587
10,50,158.655656,0.4,0.41937669376693765
22,50,158.89171,0.28,0.27740641711229946
24,50,159.119766,0.26,0.2590704647676162
16,50,159.35582,0.34,0.3849080532656944
26,50,159.595879,0.24,0.2684771399106222
14,50,159.885944,0.36,0.353784594864955
22,50,160.114996,0.28,0.27983274364747507
10,50,160.534923,0.4,0.40240963855421685
16,50,160.759975,0.34,0.3684210526315789
20,50,161.010036,0.3,0.28080143540669855
26,50,161.24559,0.24,0.22862757943006878
26,50,161.488646,0.24,0.2667678300455235
32,50,161.715698,0.18,0.2118112834048169
22,50,161.964755,0.28,0.268147166058999
28,50,162.193147,0.22,0.23039690222652467
32,50,162.452339,0.18,0.19214676536852268
20,50,162.683392,0.3,0.2938709677419355
26,50,162.943452,0.24,0.277359781121751
30,50,163.174584,0.2,0.21714285714285714
26,50,163.426643,0.24,0.23694779116465864
26,50,163.653694,0.24,0.28513555624805237
26,50,163.904752,0.24,0.24407208346506482
30,50,164.136805,0.2,0.1904603068712475
24,50,164.373859,0.26,0.23321917808219178
20,50,164.595911,0.3,0.30157728706624604
20,50,164.837965,0.3,0.3119671613514367
16,50,165.052014,0.34,0.33684568320870156
30,50,165.492115,0.2,0.18308983525023315
24,50,165.776464,0.26,0.28539611835825646
24,50,166.064531,0.26,0.2305276381909548
34,50,166.367601,0.16,0.19482593420632385
34,50,166.676337,0.16,0.1388198757763975
42,50,166.952399,0.08,0.07662588538312942
24,50,167.275475,0.26,0.30422264875239924
30,50,167.561539,0.2,0.24155193992490614
32,50,167.892617,0.18,0.22091917591125199
32,50,168.181682,0.18,0.22626136007521153
32,50,168.502755,0.18,0.17099056603773585
30,50,168.788368,0.2,0.21474467365573216
28,50,169.097439,0.22,0.21245421245421245
26,50,169.388012,0.24,0.24991938084488874
18,50,169.700086,0.32,0.31690600522193213
22,50,169.992156,0.28,0.2802929427430093
